,name,subcorpus,mcq,5-shot,category,num_instances,average_len,whitespace,emoji,non_ascii,pattern1,pattern2,pattern3,pattern4,pattern5,pattern_unsure,pattern_unrel
65,arithmetic_saq_0shot_nc.json,arithmetic,False,False,Year Shift,5,212.08,0,4,12,0,0,0,0,0,3,0
66,duration_saq_0shot_nc.json,duration,False,False,Analogy Inference,5,263.48,0,7,10,2,0,0,0,0,1,0
67,duration_saq_0shot_nc.json,duration,False,False,Commonsense,5,267.04,0,2,5,0,0,0,0,0,0,0
68,duration_saq_0shot_nc.json,duration,False,False,Computation,5,201.88,0,0,1,0,2,0,0,0,2,0
69,duration_saq_0shot_nc.json,duration,False,False,Direct Comparison,5,287.52,0,3,16,0,0,0,0,0,1,0
70,duration_saq_0shot_nc.json,duration,False,False,Facts,5,280.44,0,0,11,0,2,0,0,0,1,0
71,duration_saq_0shot_nc.json,duration,False,False,Multi-Step Comparison,5,193.96,0,7,14,0,0,0,0,0,2,0
72,duration_saq_0shot_nc.json,duration,False,False,Reading Comprehension,5,276.24,0,2,7,0,0,0,1,0,0,0
73,typical_time_saq_0shot_nc.json,typical,False,False,Commonsense,5,244.28,0,0,6,0,2,0,0,0,1,0
74,typical_time_saq_0shot_nc.json,typical,False,False,Comparison,5,314.56,0,5,17,0,2,0,0,0,0,0
75,typical_time_saq_0shot_nc.json,typical,False,False,Facts,5,209.56,0,0,10,0,0,0,0,0,0,0
76,typical_time_saq_0shot_nc.json,typical,False,False,Reading Comprehension,5,261.96,0,1,7,0,1,0,0,0,0,0
77,relation_mcq_0shot_nc.json,relation,True,False,TempEval-3,5,321.68,0,3,5,1,4,0,0,1,0,0
78,storytelling_mcq_5shot_nc.json,storytelling,True,True,ROC,5,195.16,0,0,1,0,0,0,0,0,0,0
79,storytelling_mcq_5shot_nc.json,storytelling,True,True,SCT,5,151.48,2,0,0,0,0,0,0,0,0,0
80,ordering_mcq_5shot_nc.json,ordering,True,True,Commonsense,5,288.8,0,1,2,4,0,0,0,1,2,0
81,ordering_mcq_5shot_nc.json,ordering,True,True,Facts,5,252.96,0,0,3,3,0,0,1,0,1,1
82,duration_mcq_0shot_nc.json,duration,True,False,Analogy Inference,5,291.8,0,11,12,0,1,0,0,0,0,0
83,duration_mcq_0shot_nc.json,duration,True,False,Commonsense,5,327.8,0,0,2,2,7,0,2,3,2,0
84,duration_mcq_0shot_nc.json,duration,True,False,Computation,5,264.44,0,1,6,0,3,0,0,0,0,1
85,duration_mcq_0shot_nc.json,duration,True,False,Direct Comparison,5,262.0,0,3,4,0,3,0,0,0,1,0
86,duration_mcq_0shot_nc.json,duration,True,False,Facts,5,262.96,0,2,2,0,7,0,0,0,0,0
87,duration_mcq_0shot_nc.json,duration,True,False,Multi-Step Comparison,5,329.72,0,9,13,2,2,0,0,0,2,0
88,duration_mcq_0shot_nc.json,duration,True,False,Reading Comprehension,5,277.68,0,4,9,2,2,0,1,0,1,0
89,typical_time_mcq_5shot_nc.json,typical,True,True,Commonsense,5,173.24,1,0,3,0,0,0,0,1,3,0
90,typical_time_mcq_5shot_nc.json,typical,True,True,Comparison,5,251.92,0,0,1,4,1,0,1,0,1,0
91,typical_time_mcq_5shot_nc.json,typical,True,True,Facts,5,309.08,0,3,7,5,0,0,2,1,1,0
92,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Application,5,243.08,0,3,10,3,0,0,0,0,3,1
93,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Date Computation,5,221.72,0,1,6,1,2,0,0,0,2,0
94,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Hour Adjustment (12h),5,209.2,0,1,3,2,1,0,1,0,4,2
95,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Hour Adjustment (24h),5,163.84,0,1,7,0,1,0,0,0,4,2
96,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Month Shift,5,218.2,0,1,2,3,0,0,1,0,9,5
97,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Time Computation,5,173.28,0,1,7,1,0,0,0,0,1,1
